,n_count,text_id
0,36,0016926B079C
1,60,0022683E9EA5
2,39,00299B378633
3,83,003885A45F42
4,33,0049B1DF5CCC
5,42,004AC288D833
6,47,005661280443
7,41,008DDDDD8E8D
8,82,009BCCC61C2A
9,62,009F4E9310CB
10,41,00B21F9B726F
11,52,00BCADB373EF
12,22,00D281524375
13,84,00ED2563D0B1
14,79,011AAA636F11
15,46,01350DF42AED
16,49,01405C3C569D
17,70,01501F95B8B2
18,30,017802562E71
19,27,01794F5F1423
20,55,017D2125A1DE
21,56,01911AC9674D
22,40,019BDC9DF7CD
23,87,01A65BA4080E
24,86,01B3FDB3FD57
25,25,01C53183305A
26,66,0230A077F5B6
27,87,025722D0AFB7
28,47,027CB6393714
29,26,02B07248077F
30,56,02B36EBD5C66
31,76,0316F6288791
32,39,032EA4B76BF5
33,69,036042533396
34,146,0369AD4B5726
35,78,037C88B5B111
36,60,037ED3EA2982
37,72,0381BBE47393
38,74,0383E4A36E46
39,37,03844422EA75
40,42,038480498E5A
41,47,03A3B40D651B
42,77,03C9E7A15C42
43,60,03CB73341E0E
44,93,03CC97D3747E
45,59,03D00899C901
46,49,03F7CF142B70
47,15,0420DDE0BABD
48,121,0435196871A1
49,133,043B9F48FDC2
50,164,04491B61A791
51,34,0465517EB6B7
52,48,04659704890C
53,66,046C6FB91CBA
54,97,046ECC91332C
55,33,04788D56AC58
56,88,047BD3CB80B4
57,52,0484BCFC725D
58,196,04ACA7EB3994
59,55,04B3A4DD9460
60,66,04B6FD84A066
61,39,04C2DA8069E7
62,47,04E1A9EE5BE1
63,58,04FA62C5F269
64,54,05021F4CA528
65,57,0506BAC596A7
66,25,050BFA60C6AF
67,48,0514D25768A0
68,38,051C3A22AEE0
69,47,053ACB9DFE74
70,29,053C05D2EE43
71,56,0546517E6BAA
72,48,0563F089C239
73,58,057E81E19740
74,85,057EE790CCEA
75,22,05903AA4540F
76,44,05ACEDBB9CB4
77,61,05CE0C0C5102
78,49,05E5653B781C
79,64,05EC08C05019
80,93,05F30981F3EB
81,58,05F54CEC774B
82,38,0607B495212F
83,35,061AF57CB05C
84,46,061D2BBACB45
85,73,0623DD5A8E8F
86,106,062AE7A344D3
87,75,063F809DE304
88,37,064423D845B1
89,37,06737289651D
90,48,06C9FC1267BB
91,23,06E81109FE92
92,166,06F368177993
93,115,06F5F6A09DC6
94,94,06FA8EF28227
95,86,070D792C65B7
96,29,074FA0221628
97,50,0756FC69B810
98,118,076262AA0CD5
99,38,0781753B768E
100,70,078201045481
101,64,079FDB42E429
102,134,07A4DAFDE5B7
103,70,07C6BB6ADA38
104,119,07CE77EA56C5
105,37,07D5647B11AE
106,41,07DFD9A0986B
107,48,07E1633CC87A
108,89,07F3241EB3C6
109,42,0803CE11A14A
110,69,083E12F6B1D0
111,54,084763DC1C8C
112,89,085C8B43ADD6
113,45,08683001D359
114,61,0877E6A813FE
115,91,08B25090A80C
116,49,08B72DCFD859
117,26,08D8232F2D78
118,23,08FAE6E0BDCC
119,56,08FC0154E0EF
120,57,08FC47A564AE
121,36,092BBD374359
122,61,0943E322C195
123,27,094684D6DD30
124,68,095E153640F7
125,27,0985602832CD
126,39,09A801B564F5
127,67,09ADB0629CD0
128,63,09EC2F6B0D24
129,56,0A082DA0A890
130,60,0A1482CD6163
131,65,0A324290AFE7
132,69,0A3964629F69
133,47,0A4CDC286F8C
134,52,0A8B8F282E45
