,text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions,word_count,miss_count,bos_count,week_months,small_count,miss_rate,small_rate,log_miss_rate,log_small_rate,sample,fold,DeB-cohesion,DeB-syntax,DeB-vocabulary,DeB-phraseology,DeB-rammar,DeB-conventions,style,whitespace,locale-violation,misspelling,typographical,inconsistency,duplication,uncategorized,grammar_mistakes,error_length,sum_mistakes
0,0016926B079C,3.5,3.5,3.0,3.0,4.0,3.0,262,0,15,0,15,0.0,0.0572519083969465,0.0,0.0556730024262415,0.0556730024262415,2,3.1855469,3.34375,3.2460938,3.4589844,3.3691406,3.0410156,0,1,0,8,2,0,0,0,2,58,13
1,0022683E9EA5,2.5,2.5,3.0,2.0,2.0,2.5,533,1,4,0,4,0.0018761726078799,0.0075046904315197,0.0018744147943503,0.0074766703430201,0.0102882925345456,0,2.6386719,2.6660156,2.9433594,2.5996094,2.4414062,2.7753906,2,0,0,25,5,0,0,0,8,145,40
2,00299B378633,3.0,3.5,3.0,3.0,3.0,2.5,320,4,2,0,2,0.0125,0.00625,0.0124225199985571,0.0062305497506361,0.0248643297484718,1,2.9394531,3.0390625,3.0488281,3.0058594,3.0585938,3.0390625,0,0,0,7,2,0,0,0,1,56,10
3,003885A45F42,4.5,4.5,4.5,4.5,4.0,5.0,727,1,2,0,2,0.0013755158184319,0.0027510316368638,0.0013745706631665,0.0027472544751387,0.0048091104698885,3,3.9121094,3.7304688,3.8789062,3.7070312,3.6992188,3.78125,1,0,0,3,11,0,0,0,1,76,16
4,0049B1DF5CCC,2.5,3.0,3.0,3.0,2.5,2.5,234,7,0,0,0,0.0299145299145299,0.0,0.0294758181329534,0.0,0.0442137271994301,3,2.5722656,2.5097656,2.7773438,2.5644531,2.4863281,2.4355469,0,1,0,13,2,0,0,0,2,170,18
5,004AC288D833,3.5,4.0,4.0,3.5,3.5,4.0,329,0,14,0,14,0.0,0.0425531914893617,0.0,0.041672696400568,0.041672696400568,2,3.3535156,3.4570312,3.4882812,3.2597656,3.4375,3.4589844,1,0,0,4,1,0,0,0,0,43,6
6,005661280443,3.5,4.0,3.5,3.5,4.0,4.0,431,1,0,0,0,0.0023201856148491,0.0,0.0023174981403624,0.0,0.0034762472105437,3,3.4179688,3.46875,3.3789062,3.4277344,3.5039062,3.5585938,0,0,0,5,7,0,1,0,7,164,20
7,008DDDDD8E8D,2.5,2.5,2.5,2.5,2.5,2.0,387,22,4,0,4,0.0568475452196382,0.0103359173126615,0.0552904630130198,0.010282866955584,0.0932185614751139,3,2.9160156,2.7929688,2.8105469,2.7421875,2.5292969,2.4628906,1,2,0,25,2,0,1,0,1,230,32
8,009BCCC61C2A,3.0,3.0,3.5,3.5,3.0,3.0,571,10,1,0,1,0.0175131348511383,0.0017513134851138,0.017361547195901,0.0017497817237877,0.0277921025176393,3,3.2441406,2.9746094,3.3085938,3.0703125,3.0546875,2.9003906,1,0,0,24,4,0,0,0,4,218,33
9,009F4E9310CB,3.0,3.0,3.5,2.5,3.0,2.5,398,2,6,0,6,0.0050251256281407,0.0150753768844221,0.0050125418235441,0.0149628726767123,0.0224816854120286,0,2.9121094,2.7597656,3.0390625,2.9121094,2.7109375,2.609375,0,1,0,10,1,0,0,0,4,91,16
