text_id,Pegasus_xsum,topic_category
0016926B079C,How would you feel if your school had online classes?,0
0022683E9EA5,Problem is a change for you because it can make you see different from the others.,1
00299B378633,What do you think about the school policy of having a grade b average that unfair?,0
003885A45F42,How do you become happier when you become yourself?,1
0049B1DF5CCC,Acts of kindness are not big acts of kindness they are small acts of kindness that can have an impact on other people.,1
004AC288D833,This is a letter from a student to their principal about having a community center at their school.,0
005661280443,Problem-solving is a good chance for you to prove that you are a good problem solver.,1
008DDDDD8E8D,What do you think is a good idea for the students to commit to a career at a young age?,0
009BCCC61C2A,There's a saying that if you want to succeed in life you have to have a positive attitude.,1
009F4E9310CB,Have you ever asked for more than one opinion?,1
00B21F9B726F,Some people think it's a good idea for students to commit to a career at a young age.,0
00BCADB373EF,"People should have a positive attitude because it brings new opportunities, a healthier and happy life, and success.",1
00D281524375,Having technology is a positive thing because it helps lots of people out.,2
00ED2563D0B1,Setting an example by your behavior is the best way to influence others. Many may think that there are better ways unlike setting an example by your behavior is the best way to influence others.,1
011AAA636F11,Have you ever solved a math problem in less than 30 seconds?,1
01350DF42AED,"When the people have a positive attitude in their live, they have a good posture and said is okay everything was good, and take a good attitude in the school.",1
01405C3C569D,"A positive attitude is the key for be successful person in the life make our days happy and interesting, because all do you need to do is being pleasant with yourself and the people around you, if you have a good position a way of thinking or feeling the surrounding things make your attitude positive.",1
01501F95B8B2,"Some states are considering changing the curfews from 10pm to 11pm, but what would be the impact on teens lives?",2
017802562E71,In my opinion the technology has many negative effects on our social livest.,2
01794F5F1423,How would you feel if your school changed the lunch menu?,0
017D2125A1DE,"The summer break should be longer than the autumn break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break, the summer break should be longer than the winter break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break, the summer break should be longer than the autumn break, the summer break should be longer than the winter break,",0
01911AC9674D,"There are a lot of things that can ruin a day, but there are some things that can make people days.",1
019BDC9DF7CD,"Some say students will not be benefit of attend classes from home by way of online or video conferencing because a lot of students don't have access to internet, or they have no computers at home, actually some people say students will be benefit to attend classes from home because it will save students time, and it will develop students confidence on technology.",0
01A65BA4080E,"Students should not be allowed to use their cell phones during class because it will not benefit them, this would be a distraction to not only students but teachers as well.",2
01B3FDB3FD57,What do you think is more important - imagination or knowledge?,1
01C53183305A,There are many Schools offer for Students to Learning as option for Students from home.,0
0230A077F5B6,In my opinion the student from high school should not allow to graduate in three years.,0
025722D0AFB7,How important are manners and values when hiring an employee?,1
027CB6393714,In my opinion students should not be required to take arts classes because they might need other class.,0
02B07248077F,"All life is one decision every time, we have to make designs and, every day some time it was excellent sometime wrong, I not agree because when you permit somebody take decisions for you life turned bored and, you are unhappy.",1
02B36EBD5C66,Distance learning is a great option for many students.,0
0316F6288791,Essay: Should students take classes in online?,0
032EA4B76BF5,In this article I'm going to tell you why positive attitude is the key to success in life.,1
036042533396,Do you ever feel like nothing is going your way when you're trying your best?,1
0369AD4B5726,How important is honesty in your life?,1
037C88B5B111,"There are a lot of opinions about extending the school day. If they're extending the school day two hours, to a four-day school week, they will give students get more chances to focus what they like, time to explore and spend more time for family.",0
037ED3EA2982,Do you think positive attitude is the key to success in life?,1
0381BBE47393,In this article I will give you my point of view on why it is important to always be active.,1
0383E4A36E46,How would you describe LOCATION_NAME?,0
03844422EA75,My name is Generic_Name and my story is about cars bay a car and it knew I live that car so mush i start taking car to it and before I unto have a bushel and i unto love that basket so math but i at older so I stop riding a bike and i start looking for a bees things when I was a kid i unto so my dad driven a car and i unto having fun in it;and my Grimm was to bay a car win i group and is til looking for that Grimm soccer is the only sport I like I used to play soccer win I was 11 years old and is til play that game and I love it so mush but my lies get her so I stop playing it any more and then i start fling better so I try OT for school and i start making friends and play with them my avert game very day I even like a girl becomes that game so l like that girl and i start playing with her and taking wife her and I wanted her number,0
038480498E5A,What are your reasons why you shouldn't let students who have a C average participate in school sports activities?,0
03A3B40D651B,"President Obama wants to make it illegal for people to come to the United States of America without a valid visa, unless they have an imagination.",2
03C9E7A15C42,I think that the more things you master the more you grow and know as a person.,1
03CB73341E0E,Do you think it's a good idea to have someone make your decisions for you all the time?,1
03CC97D3747E,In my opinion it's a good idea to allow students to explore certain occupations through internships.,0
03D00899C901,Do you think having a positive attitude is a key to success in life?,1
03F7CF142B70,"Some people say that true self-hosted comes from achievement, so you can learn faster and have advanced learning.",0
0420DDE0BABD,"I agree, because you threw failure to be successful.",1
0435196871A1,In our series of letters from African journalists we are looking at what passion students have.,2
043B9F48FDC2,What do you think should be required for students to take in school?,0
04491B61A791,"I want to work in the Amazon company because, I have dreams in my life and things that I would like to be.",0
0465517EB6B7,How do you change your first impression?,3
04659704890C,Having a good attitude in life can help us out so much when we want to accessed.,1
046C6FB91CBA,Attending classes online at home would benefit a lot for us the students because in case something happens at home they just go online at do their work without stress about losing points.,0
046ECC91332C,"How do you change your first impressions? Some people say that the first impressions are almost impossible to change nevertheless, a person can easily change his/her first impressions because, human is a developed creature that can easily keep moving and change the first impressions with his/her ideas and experiences.",3
04788D56AC58,What is the one place in this world you would like to visit?,0
047BD3CB80B4,"In our series of letters from African-American journalists, journalist, and novelist, novelist and writer Ta-Nehisi Coates looks at whether students should have the option to take online classes.",2
0484BCFC725D,In this paper I will argue failure and success in life.,1
04ACA7EB3994,Do you think students should attend online classes from home?,0
04B3A4DD9460,Talking to guidance is a good idea because guidance can help people on what is good or bad things to do in life.,1
04B6FD84A066,"Michelangelo said, ""Aiming low and accomplishing your goal is not a challenge or real goal.""",1
04C2DA8069E7,There are many ways you can teach student used the cell phone but you most to explain why?,2
04E1A9EE5BE1,"There is no problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school if you sake or not you have come to school, but there is a problem to not go to school",0
04FA62C5F269,"The positive attitude is the key to success in life, because the people thing positive.",1
05021F4CA528,"I believe what you yourself choose to make it because a lot people have different choices in the life some people have different influence of what they believed on their own choices and ability for example like lifestyle and what they enjoyed doing to do also what they believed and what's right or wrong, who they hang out with.",1
0506BAC596A7,Write something beyond what you have already mastered.,1
050BFA60C6AF,Do a city council is debating the adoption of a 10 P.m weekend curfew and a midnight weekend curfew for teenagers?,2
0514D25768A0,"In this article, I will tell you why technology is bad.",2
051C3A22AEE0,How would you benefit from taking classes from home or online?,0
